Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
11-02-2010,482,484.5,480,481.18,481.61,12692,61.23
15-02-2010,483,484.5,477,482.99,478.68,1975,9.51
16-02-2010,481,484,478,483.5,483.43,720,3.45
17-02-2010,490,492.5,489,490,490,21237,104.06
18-02-2010,490,491,488,490.5,488.41,97,0.47
19-02-2010,490.5,490.5,482,483.1,483.67,598,2.91
22-02-2010,490.05,499,486,499,491.45,379,1.86
23-02-2010,479.6,488,479.6,487,487.16,218,1.06
24-02-2010,487,488,480.25,485,485.06,33641,163.52
25-02-2010,486,486,483,485,484.52,2315,11.22
26-02-2010,488,498.95,486,488.1,489.36,945,4.66
02-03-2010,500,501.88,488.12,501.87,499.84,3159,15.76
03-03-2010,504,507.9,504,507,507.51,21178,107.14
04-03-2010,509,509,480,504,506.96,18739,94.81
05-03-2010,510,510,507,508,508.51,1494,7.61
08-03-2010,510.8,516,508.51,512.55,511.35,18629,95.49
09-03-2010,512,512,510,510.2,510.53,15105,77.25
10-03-2010,511,513.5,508.5,511,509.99,68468,348.48
11-03-2010,511,513.5,511,513.5,513.48,4551,23.36
12-03-2010,515,516,510,510,513.61,3556,18.26
15-03-2010,512,514,509,512,512.33,3636,18.62
16-03-2010,514,520.95,513,520.95,519.65,1830,9.48
17-03-2010,520.95,525,511.3,523,522.44,2213,11.59
18-03-2010,524.5,525,522,523,523.46,3179,16.64
19-03-2010,525,527,524,527,526.9,5356,28.2
22-03-2010,526.9,526.9,511,523,523,2784,14.58
23-03-2010,523,523,513.95,521,521.36,1705,8.86
25-03-2010,521,526,520.5,525,524.98,799,4.17
26-03-2010,525,528,525,528,528,777,4.1
29-03-2010,529,533,529,529,529.6,964,5.12
30-03-2010,533,533,500.18,525,525,2525,13.38
31-03-2010,520,528.5,520,523.5,524.44,2071,10.88
01-04-2010,530,530,526,528.5,528.5,916,4.83
05-04-2010,531.5,536,531,536,536,10491,55.89
06-04-2010,536.95,537.5,535.5,536,536.5,1589,8.52
07-04-2010,538,540,535,537,537,1390,7.46
08-04-2010,536,536.5,534,536.5,536.03,3712,19.85
09-04-2010,534,537,532.5,535,535.16,1635,8.73
12-04-2010,537,537,533,536,536,683,3.64
13-04-2010,531.5,533,531.5,532,532,97,0.52
15-04-2010,535.5,536.5,528,528,528,448,2.39
16-04-2010,527,528,524.8,526.5,526.5,1560,8.2
19-04-2010,520,522,518,520,518.18,348,1.81
20-04-2010,521.5,526,521,522.5,522.5,137,0.72
21-04-2010,525,525.5,523.5,523.5,523.5,2770,14.52
22-04-2010,522.5,532,522.5,525,526.88,1952,10.31
23-04-2010,529,530,528.5,528.5,529.89,1227,6.5
26-04-2010,533,535,531,531,531,773,4.12
27-04-2010,532,534,531,531,531,370,1.97
28-04-2010,526,526.02,521,522,522,2817,14.79
29-04-2010,524,526,523.21,524.75,524.75,770,4.03
30-04-2010,529,530,527,530,530,1403,7.4
03-05-2010,530,530,523,525,523.53,607,3.19
04-05-2010,525,527,519,520,520.25,388,2.03
05-05-2010,507,515,507,515,513.02,520,2.66
06-05-2010,512,513,505,512,512,29956,151.73
07-05-2010,504,505.95,499,505.95,505.95,2897,14.53
10-05-2010,511,516,490,512,512.05,1504,7.67
11-05-2010,517,520,513,514,513.11,362,1.87
12-05-2010,515,518,513.1,513.1,513.1,245,1.26
13-05-2010,519,521,422.25,518,518,972,5.04
14-05-2010,516,520,508,508,509.72,429,2.21
17-05-2010,501,507,499.5,506,506.69,938,4.72
18-05-2010,505,508,503,504.5,504.5,115,0.58
19-05-2010,490,598.3,410,495.9,495.25,3162,16.04
20-05-2010,500,500,494,496,496,183,0.91
21-05-2010,500,500,481,493,493,2200,10.83
24-05-2010,501,503,497,497,497.49,300,1.5
25-05-2010,590,590,482,486.5,485.62,2959,14.37
26-05-2010,490,495,486,489.8,494.08,7179,35.05
27-05-2010,492,498,492,498,498,111,0.55
28-05-2010,505,508,503.5,508,506.95,369,1.86
31-05-2010,508,509.9,504.5,508,506.48,7444,37.7
01-06-2010,505,506.5,494,494,494.03,17230,86.8
02-06-2010,499.5,502.8,496,502.5,500.09,10572,52.81
03-06-2010,508.15,511,508,510,510,3850,19.65
04-06-2010,510,513.15,490.1,512,512,2168,11.03
07-06-2010,503,504.99,501.89,504.99,504.97,13590,68.29
08-06-2010,505.5,506.95,498,500,499.59,6159,30.91
09-06-2010,499,505,499,500.9,500.9,6943,34.83
10-06-2010,504,504.99,504,504,504,89,0.45
11-06-2010,512,512,505.05,507,507.9,400,2.03
14-06-2010,516,517,514,516,516,1668,8.6
15-06-2010,511.75,521,511.75,521,520.1,1071,5.54
16-06-2010,520,523.9,513.05,514,515.52,189,0.98
17-06-2010,516,527.5,516,516.05,526.98,32117,169.22
18-06-2010,528,530,515.5,520.01,523.98,652,3.43
21-06-2010,528,532,528,528,528.04,2182,11.53
22-06-2010,528,531,528,531,531,1348,7.12
23-06-2010,531,531,525,528.01,528.01,24,0.13
24-06-2010,528,530,528,529.25,529.25,1912,10.12
25-06-2010,529.25,529.25,502.7,502.7,521.67,243,1.28
28-06-2010,525,529.96,525,529,528.36,318,1.68
29-06-2010,525.01,528,520.01,525.5,525.5,661,3.47
30-06-2010,525.5,530,523,525,525,363,1.91
01-07-2010,525,528.5,525,525,525,481,2.53
02-07-2010,525,525.15,523,523,523,481,2.52
05-07-2010,523.05,524,523,523,523,89,0.47
06-07-2010,523,530,437,521.01,521.46,1061,5.53
07-07-2010,528,528,523,523.5,523.5,8756,45.86
08-07-2010,530,531,529,529,529,235,1.25
09-07-2010,530.01,534,530,530.01,530.25,663,3.52
12-07-2010,534.5,539,534.5,535,537.85,1187,6.37
13-07-2010,532,539,532,539,538.87,4058,21.71
14-07-2010,539,544,530.01,530.01,541.78,2792,15.13
15-07-2010,540.6,540.6,535,535.01,535.01,103,0.55
16-07-2010,535.11,538,535.11,535.11,535.11,199,1.07
19-07-2010,538,538,535,535,535,332,1.78
20-07-2010,540,540,535.01,538.65,538.65,168,0.9
21-07-2010,535.05,535.6,535.05,535.6,535.6,242,1.3
22-07-2010,535.6,543,535.01,540.1,542.17,1126,6.07
23-07-2010,542,544,541.05,541.05,541.05,348,1.89
26-07-2010,546,546,540,540,540.54,389,2.11
27-07-2010,542,545,540,541.5,541.5,460,2.49
28-07-2010,543,543,540,540,540,1156,6.25
29-07-2010,539,540,535,540,540,288,1.55
30-07-2010,538,538,535,535,535,105,0.56
02-08-2010,544,544,537.05,537.1,537.1,468,2.52
03-08-2010,544,544,540,540.01,541,17933,96.97
04-08-2010,542,549,540,545,548.19,1291,7.01
05-08-2010,548,550,543,543,543,305,1.67
06-08-2010,545,546.99,540,544.99,540.86,236,1.28
09-08-2010,545,546,542,546,546,283,1.54
10-08-2010,547,547,512.8,546,532.77,139,0.76
11-08-2010,546.5,546.5,542.5,542.5,542.57,1687,9.16
12-08-2010,540,543,540,543,543,116,0.63
13-08-2010,543,547.5,540,547.5,547.5,380,2.06
16-08-2010,548,548,539,539,539,368,2.01
17-08-2010,540,544,540,543,543,10145,54.79
18-08-2010,496,547,496,545,544.92,227,1.22
19-08-2010,547,554,547,554,552.51,566,3.11
20-08-2010,550,552,550,550,550,383,2.11
23-08-2010,552,552,552,552,552,209,1.15
24-08-2010,552,552,548,548,548.92,341,1.88
25-08-2010,520.52,550.5,520.52,547.5,545.37,728,3.98
26-08-2010,547.5,548.5,507.7,547,545.37,265,1.43
27-08-2010,548,548,520.35,541.9,541.93,303,1.64
30-08-2010,550,550,539,542.5,541.53,21543,116.46
